coverage,sequence_id,0,1,2,3,4,5,6,7,8,9
0.75,8,9,42,358,1627,6410,23034,82492,0,0,0
0.75,9,33,154,769,2653,9467,35298,127270,0,0,0
0.75,10,2,39,186,812,2739,9556,35395,124411,0,0
0.75,11,8,37,352,1618,6525,23573,83483,0,0,0
0.75,12,6,11,70,451,2326,9835,36353,135782,0,0
0.75,13,5,22,119,790,3949,16589,60728,0,0,0
0.75,14,11,85,486,2504,10219,38821,143580,0,0,0
0.75,15,6,28,106,470,2065,8958,35223,123894,0,0
0.75,16,14,99,653,3479,15797,62833,0,0,0,0
0.75,17,7,24,74,281,1449,6599,25743,89999,0,0
0.75,18,30,218,1106,4671,18203,66030,0,0,0,0
0.75,19,7,34,111,439,1736,7641,31754,120327,0,0
0.75,20,20,112,602,2111,7822,28201,98549,0,0,0
0.75,21,8,33,321,1542,6230,22855,79942,0,0,0
0.75,22,7,46,234,1641,7418,32537,128607,0,0,0
0.75,23,10,44,365,1659,6572,23782,82570,0,0,0
0.75,24,5,37,109,341,1123,4671,19467,80123,0,0
0.75,25,14,85,553,2445,9428,33154,112017,0,0,0
0.75,26,12,48,174,542,1976,8325,34292,141269,0,0
0.75,27,2,33,135,802,3226,13498,56189,0,0,0
0.75,28,12,56,215,795,3116,11393,36410,110463,0,0
0.75,29,14,89,504,2669,11610,47267,181867,0,0,0
0.75,30,4,23,95,446,1765,8291,34304,132845,0,0
0.75,31,32,163,1091,5019,21129,85865,0,0,0,0
0.75,32,19,110,564,2535,10599,43152,163550,0,0,0
0.75,33,2,1,5,30,158,853,3203,11993,46157,167838
0.75,34,6,56,264,1476,6700,27356,101504,0,0,0
0.75,35,1,1,1,7,38,310,1637,7227,28096,103115
0.75,36,13,89,359,1887,7519,29867,116949,0,0,0
0.75,37,6,24,68,303,1324,5642,22395,79247,0,0
0.75,38,5,30,188,1197,5643,25195,106728,0,0,0
0.75,39,2,9,49,228,1157,5190,21141,72972,0,0
0.75,40,1,1,8,59,401,1949,7882,28535,102396,0
0.75,41,1,1,1,1,1,1,15,79,371,1308
0.75,42,2,9,73,407,2406,11714,54193,0,0,0
0.75,43,2,2,3,22,115,652,2326,8631,32484,114218
0.75,44,13,77,367,1417,4219,12996,39073,119358,0,0
0.75,45,6,35,105,486,2120,8596,34728,131914,0,0
0.75,46,5,7,95,402,2211,8959,35813,140158,0,0
0.75,47,4,10,35,154,719,2981,11515,40614,139723,0
0.75,48,6,39,238,1346,6879,30462,120152,0,0,0
0.75,49,4,11,30,168,658,2492,9203,32613,114862,0
0.75,50,2,9,35,197,806,3392,14300,53340,0,0
0.75,51,30,140,669,2288,7772,29003,100701,0,0,0
0.75,52,2,20,104,523,1648,5969,22199,76288,0,0
0.75,53,15,61,295,1018,2088,3690,6693,11533,19558,38280
0.75,54,12,81,564,2805,13372,55956,0,0,0,0
0.75,55,38,220,1177,4291,15989,61857,0,0,0,0
0.75,56,4,12,31,153,926,4820,20784,81288,0,0
0.75,57,2,6,11,13,26,161,965,4866,20716,78449
0.75,58,10,51,413,2065,8598,31752,113303,0,0,0
0.75,59,5,28,150,635,2851,10750,38635,124105,0,0
0.75,60,7,46,213,1211,4695,17388,64402,0,0,0
0.75,61,6,29,121,501,2568,11946,52442,0,0,0
0.75,62,20,111,798,3480,15399,65395,0,0,0,0
0.75,63,1,10,57,426,2057,8184,28716,98343,0,0
0.75,64,1,1,1,1,1,1,2,3,8,44
0.75,65,2,12,84,541,2825,13345,56159,0,0,0
0.75,66,1,3,42,216,1410,6896,33096,145010,0,0
0.75,67,5,37,214,1218,5985,26426,108454,0,0,0
0.75,68,3,20,92,440,1578,5471,18802,62002,0,0
0.75,69,5,20,70,257,1195,4709,18382,67193,0,0
0.75,70,5,26,131,609,2002,7101,26884,100173,0,0
0.75,71,4,5,25,107,682,3155,12628,43767,146544,0
0.75,72,3,8,45,271,1593,7371,32105,127942,0,0
0.75,73,24,121,824,3751,17149,74905,0,0,0,0
0.75,74,2,8,30,179,992,4080,17017,65134,0,0
0.75,75,10,51,395,1682,6711,24455,87840,0,0,0
0.75,76,22,117,656,2389,9162,34776,126025,0,0,0
0.75,77,1,1,1,1,1,1,13,56,262,971
0.75,78,20,99,556,2159,9158,38937,155940,0,0,0
0.75,79,1,1,10,76,526,2824,12378,47690,179821,0
0.75,80,8,37,309,1374,5464,18533,60906,0,0,0
0.75,81,12,53,337,1610,6289,22333,79197,0,0,0
0.75,82,9,20,49,177,777,3394,13110,52660,0,0
0.75,83,6,18,45,180,892,4004,16465,62873,0,0
