coverage,sequence_id,0,1,2,3,4,5,6,7,8,9
0.95,0,20,225,1829,11545,62094,0,0,0,0,0
0.95,1,16,80,484,2466,13056,61675,0,0,0,0
0.95,2,13,119,941,6316,38990,221713,0,0,0,0
0.95,3,21,152,1196,7820,45774,250757,0,0,0,0
0.95,4,16,171,1330,9408,59808,0,0,0,0,0
0.95,5,14,117,566,1976,6935,24316,83413,0,0,0
0.95,6,26,354,3761,33228,237165,0,0,0,0,0
0.95,7,9,70,495,3255,19319,106206,0,0,0,0
0.95,8,17,168,1651,14509,113930,0,0,0,0,0
0.95,9,18,176,1298,8777,54793,0,0,0,0,0
0.95,10,17,94,508,2442,11557,51557,0,0,0,0
0.95,11,10,75,570,4136,28239,182468,0,0,0,0
0.95,12,20,156,762,4032,19551,90662,0,0,0,0
0.95,13,18,168,1292,8934,55124,0,0,0,0,0
0.95,14,16,164,1295,8903,56990,0,0,0,0,0
0.95,15,24,166,1305,7826,42352,201089,0,0,0,0
0.95,16,27,383,3784,31096,218968,0,0,0,0,0
0.95,17,14,84,478,2523,13223,65897,0,0,0,0
0.95,18,8,64,419,2739,17303,103285,0,0,0,0
0.95,19,14,158,1413,11014,79748,0,0,0,0,0
0.95,20,18,163,1070,5784,29133,141427,0,0,0,0
0.95,21,13,81,405,1912,9139,46493,252673,0,0,0
0.95,22,28,312,2557,18746,122265,0,0,0,0,0
0.95,23,26,319,2744,21619,149932,0,0,0,0,0
0.95,24,18,153,1355,10915,81655,0,0,0,0,0
0.95,25,27,243,1897,12968,75656,0,0,0,0,0
0.95,26,12,86,626,4141,25940,153881,0,0,0,0
0.95,27,28,333,3139,27263,208990,0,0,0,0,0
0.95,28,12,104,778,5095,31027,180306,0,0,0,0
0.95,29,23,342,3906,37312,312747,0,0,0,0,0
0.95,30,10,50,304,1637,8382,39562,181144,0,0,0
0.95,31,14,100,641,3995,20086,93969,0,0,0,0
0.95,32,22,135,748,3526,15970,66575,0,0,0,0
0.95,33,24,290,2953,25252,194375,0,0,0,0,0
0.95,34,8,53,341,1923,9914,48693,228911,0,0,0
0.95,35,13,69,490,3110,17883,97065,0,0,0,0
0.95,36,21,298,3140,26148,194504,0,0,0,0,0
0.95,37,14,107,666,4374,26290,148272,0,0,0,0
0.95,38,18,177,1797,15894,126649,0,0,0,0,0
0.95,39,11,89,661,4542,28685,167546,0,0,0,0
0.95,40,12,42,246,1042,4847,22684,103911,0,0,0
0.95,41,16,156,1318,10095,69639,0,0,0,0,0
0.95,42,19,76,421,1934,8129,34600,143758,0,0,0
0.95,43,8,30,165,796,3433,14673,62053,0,0,0
0.95,44,14,91,646,3682,19487,97141,0,0,0,0
0.95,45,22,259,2146,15418,97401,0,0,0,0,0
0.95,46,5,19,108,553,2773,13583,65978,0,0,0
0.95,47,14,139,1204,9084,60090,0,0,0,0,0
0.95,48,16,159,1210,8365,52377,0,0,0,0,0
0.95,49,11,83,469,2125,8677,35401,140724,0,0,0
0.95,50,18,107,697,3455,14101,53948,0,0,0,0
0.95,51,16,147,1061,6774,41016,234418,0,0,0,0
0.95,52,9,46,242,1029,4484,18116,70105,0,0,0
0.95,53,23,252,1555,8149,40756,179556,0,0,0,0
0.95,54,6,35,260,1649,9117,46459,223317,0,0,0
0.95,55,17,157,1541,14567,116813,0,0,0,0,0
0.95,56,18,141,1127,7196,42407,225795,0,0,0,0
0.95,57,11,51,332,2039,11256,58855,0,0,0,0
0.95,58,11,78,434,2290,11681,58910,0,0,0,0
0.95,59,11,76,541,3621,22425,130551,0,0,0,0
0.95,60,13,112,916,6793,45359,282526,0,0,0,0
0.95,61,16,153,1260,9413,65327,0,0,0,0,0
0.95,62,24,384,5114,55306,0,0,0,0,0,0
0.95,63,1,16,149,1101,7468,45833,265214,0,0,0
