entropy,num_steps,dataset,lim_entropy
1.975634,1,shakespeare,6.087462841250339
3.9443078,2,shakespeare,12.174925682500678
5.9567227,3,shakespeare,18.262388523751017
7.9538913,4,shakespeare,24.349851365001356
9.947623,5,shakespeare,30.437314206251695
11.924814,6,shakespeare,36.524777047502035
13.90482,7,shakespeare,42.61223988875237
15.875786,8,shakespeare,48.69970273000271
17.845325,9,shakespeare,54.787165571253055
19.805067,10,shakespeare,60.87462841250339
21.762774,11,shakespeare,66.96209125375373
2.459605,1,amazon,4.906890595608519
4.882682,2,amazon,9.813781191217037
7.2747836,3,amazon,14.720671786825555
9.644547,4,amazon,19.627562382434075
11.997552,5,amazon,24.534452978042594
14.340488,6,amazon,29.44134357365111
16.676971,7,amazon,34.348234169259634
19.010595,8,amazon,39.25512476486815
21.344439,9,amazon,44.162015360476666
23.6829,10,amazon,49.06890595608519
26.025751,11,amazon,53.975796551693705
2.0629072,1,moocs,6.614709844115208
4.009762,2,moocs,13.229419688230417
5.909999,3,moocs,19.844129532345626
7.730722,4,moocs,26.458839376460833
9.546233,5,moocs,33.07354922057604
11.322127,6,moocs,39.68825906469125
13.100543,7,moocs,46.302968908806456
14.868339,8,moocs,52.91767875292167
16.644352,9,moocs,59.53238859703688
18.4116,10,moocs,66.14709844115208
20.18432,11,moocs,72.76180828526729
0.72863716,1,apps,6.459431618637297
1.396215,2,apps,12.918863237274595
2.0100045,3,apps,19.378294855911893
2.5888991,4,apps,25.83772647454919
3.1199253,5,apps,32.29715809318649
3.6346536,6,apps,38.756589711823786
4.1150975,7,apps,45.21602133046108
4.583061,8,apps,51.67545294909838
5.027405,9,apps,58.134884567735675
5.469868,10,apps,64.59431618637298
5.893141,11,apps,71.05374780501027
